开始IP,结束IP,IP归属地
202.117.54.89,202.117.54.89,西安交通大学东区图书馆二楼的树华电子阅览室 89号机
202.117.54.90,202.117.54.90,西安交通大学东区图书馆二楼的树华电子阅览室 90号机
202.117.54.91,202.117.54.91,西安交通大学东区图书馆二楼的树华电子阅览室 91号机
202.117.54.92,202.117.54.92,西安交通大学东区图书馆二楼的树华电子阅览室 92号机
202.117.54.93,202.117.54.93,西安交通大学东区图书馆二楼的树华电子阅览室 93号机
202.117.54.94,202.117.54.94,西安交通大学东区图书馆二楼的树华电子阅览室 94号机
202.117.54.95,202.117.54.95,西安交通大学东区图书馆二楼的树华电子阅览室 95号机
202.117.54.96,202.117.54.96,西安交通大学东区图书馆二楼的树华电子阅览室 96号机
202.117.54.97,202.117.54.97,西安交通大学东区图书馆二楼的树华电子阅览室 97号机
202.117.54.98,202.117.54.98,西安交通大学东区图书馆二楼的树华电子阅览室 98号机
202.117.54.99,202.117.54.99,西安交通大学东区图书馆二楼的树华电子阅览室 99号机
202.117.54.100,202.117.54.100,西安交通大学东区图书馆二楼的树华电子阅览室 100号机
202.117.54.101,202.117.54.189,西安交通大学 东区图书馆二楼的树华电子阅览室
202.117.54.190,202.117.54.255,西安交通大学 智能网络与网络安全实验室
202.117.55.0,202.117.55.252,西安交通大学 西18/19/20舍
202.117.55.253,202.117.55.253,西安交通大学 西18-2046舍
202.117.55.254,202.117.55.255,西安交通大学 西18/19/20舍
202.117.56.0,202.117.56.255,西安交通大学 东15/16舍
202.117.57.0,202.117.57.255,西安交通大学 教二楼北生命科学院
202.117.58.0,202.117.58.255,西安交通大学 西十五舍
202.117.59.0,202.117.59.255,西安交通大学 西三舍
202.117.60.0,202.117.60.21,西安交通大学 东18/19/20舍
202.117.60.22,202.117.60.22,西安交通大学 东十九舍203
202.117.60.23,202.117.60.46,西安交通大学 东18/19/20舍
202.117.60.47,202.117.60.60,西安交通大学 东二十舍
202.117.60.61,202.117.60.76,西安交通大学 东18/19/20舍
202.117.60.77,202.117.60.77,西安交通大学 东十九舍128
202.117.60.78,202.117.60.100,西安交通大学 东18/19/20舍
202.117.60.101,202.117.60.125,西安交通大学 东二十舍
202.117.60.126,202.117.60.254,西安交通大学 东18/19/20舍
202.117.60.255,202.117.60.255,陕西省 西安市交大东十七舍
202.117.61.0,202.117.61.255,西安交通大学 西1-3舍
202.117.62.0,202.117.62.255,西安交通大学 西十四舍
202.117.63.0,202.117.63.255,西安交通大学
202.117.160.0,202.117.160.176,西安交通大学 医学院
202.117.160.177,202.117.160.177,西安交通大学 医学院行政楼313
202.117.160.178,202.117.161.21,西安交通大学 医学院
202.117.161.22,202.117.161.22,西安交通大学 医学院二层东207
202.117.161.23,202.117.161.47,西安交通大学 医学院
202.117.161.48,202.117.161.48,西安交通大学 医学院卫法楼9层
202.117.161.49,202.117.161.82,西安交通大学 医学院
202.117.161.83,202.117.161.83,西安交通大学 医学院病理楼
202.117.161.84,202.117.161.90,西安交通大学 医学院
202.117.161.91,202.117.161.91,西安交通大学 医学院病理楼
202.117.161.92,202.117.161.115,西安交通大学 医学院
202.117.161.116,202.117.161.116,西安交通大学 医学院法医楼
202.117.161.117,202.117.161.122,西安交通大学 医学院
202.117.161.123,202.117.161.123,西安交通大学 医学院法医楼
202.117.161.124,202.117.161.131,西安交通大学 医学院
202.117.161.132,202.117.161.132,西安交通大学 医学院机能楼
202.117.161.133,202.117.162.16,西安交通大学 医学院
202.117.162.17,202.117.162.17,西安交通大学 医学院医学示教楼1-5层
202.117.162.18,202.117.163.255,西安交通大学 医学院
202.117.164.0,202.117.164.255,西安交通大学 西14舍
202.117.165.0,202.117.166.255,西安交通大学 医学院
202.117.167.0,202.117.167.255,西安交通大学 第一医院医疗区
202.117.168.0,202.117.168.136,西安交通大学 医学院
202.117.168.137,202.117.168.137,西安交通大学 医学院医学公卫楼一层
202.117.168.138,202.117.168.138,西安交通大学 医学院
202.117.168.139,202.117.168.139,西安交通大学 计算机培训中心
202.117.168.140,202.117.168.255,西安交通大学 医学院
202.117.169.0,202.117.169.255,西安交通大学 东16舍
202.117.170.0,202.117.170.24,西安交通大学 医学院
202.117.170.25,202.117.170.25,西安交通大学 医学院医学学生区二附中
202.117.170.26,202.117.170.66,西安交通大学 医学院
202.117.170.67,202.117.170.68,西安交通大学 医学院职教学院楼
202.117.170.69,202.117.174.255,西安交通大学 医学院
202.117.175.0,202.117.175.255,西安交通大学 第一医院家属区
202.117.200.0,202.117.200.185,西安交通大学 财经学院
202.117.200.186,202.117.200.186,西安交通大学 财经学院电子阅览室
202.117.200.187,202.117.200.255,西安交通大学 财经学院
202.117.201.0,202.117.201.255,西安交通大学 西5舍
202.117.202.0,202.117.203.20,西安交通大学 财经学院
202.117.203.21,202.117.203.21,西安交通大学 财经办公大楼1层
202.117.203.22,202.117.203.22,西安交通大学 财经学院
202.117.203.23,202.117.203.23,西安交通大学 财经办公大楼3层
202.117.203.24,202.117.203.26,西安交通大学 财经学院
202.117.203.27,202.117.203.27,西安交通大学 财经办公大楼2层
202.117.203.28,202.117.203.178,西安交通大学 财经学院
202.117.203.179,202.117.203.179,西安交通大学 财金校区9楼
202.117.203.180,202.117.203.190,西安交通大学 财经学院
202.117.203.191,202.117.203.191,西安交通大学 财经9楼
202.117.203.192,202.117.203.194,西安交通大学 财经学院
202.117.203.195,202.117.203.195,西安交通大学 财经校区行政楼
202.117.203.196,202.117.203.232,西安交通大学 财经学院
202.117.203.233,202.117.203.233,西安交通大学 财院办公楼
202.117.203.234,202.117.203.243,西安交通大学 财经学院
202.117.203.244,202.117.203.244,西安交通大学 财行政楼522
202.117.203.245,202.117.206.255,西安交通大学 财经学院
202.117.207.0,202.117.207.21,西安交通大学 财经教学楼
202.117.207.22,202.117.207.22,西安交通大学 财经教学楼7层
202.117.207.23,202.117.207.255,西安交通大学 财经教学楼
202.117.208.0,202.117.208.255,西安交通大学 轴承所
202.117.209.0,202.117.210.255,西安交通大学
202.117.211.0,202.117.211.255,西安交通大学 西02/03舍
202.117.215.0,202.117.215.255,西安交通大学
202.117.216.0,202.117.217.31,西安交通大学 东6-8舍
202.117.217.32,202.117.217.32,西安交通大学 7-217
